"filename", "language", "HTML", "PostCSS", "JSON", "JavaScript", "Markdown", "JSON with Comments", "MS SQL", "TypeScript", "TypeScript JSX", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\.idea\sneakyChat.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\README.md", "Markdown", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 20, 51
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app.json", "JSON", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\+not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 301, 0, 0, 0, 5, 306
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 3, 61
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\crearCate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 5, 114
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\app\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 1, 7, 154
